Unnamed: 0,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature_C
78,Assam,BAKSA,2007,Rabi       ,Peas & beans (Pulses),1118.0,872.0,20.9
79,Assam,BAKSA,2007,Rabi       ,Rapeseed &Mustard,10587.0,6892.0,22.1
80,Assam,BAKSA,2007,Rabi       ,Urad,1401.0,656.0,21.9
81,Assam,BAKSA,2007,Rabi       ,Wheat,2419.0,3320.0,29.8
82,Assam,BAKSA,2007,Summer     ,Rice,7124.0,14341.0,28.6
83,Assam,BAKSA,2007,Whole Year ,Arecanut,2768.0,2338.0,20.6
84,Assam,BAKSA,2007,Whole Year ,Banana,2157.0,31581.0,28.2
85,Assam,BAKSA,2007,Whole Year ,Black pepper,46.0,68.0,26.7
86,Assam,BAKSA,2007,Whole Year ,Coconut ,1288.0,10001000.0,23.2
87,Assam,BAKSA,2007,Whole Year ,Dry chillies,688.0,311.0,22.8
88,Assam,BAKSA,2007,Whole Year ,Dry ginger,529.0,3662.0,29.2
89,Assam,BAKSA,2007,Whole Year ,Onion,250.0,250.0,26.8
90,Assam,BAKSA,2007,Whole Year ,Potato,4535.0,34763.0,23.4
91,Assam,BAKSA,2007,Whole Year ,Sugarcane,273.0,10394.0,25.3
92,Assam,BAKSA,2007,Whole Year ,Sweet potato,295.0,1661.0,21.4
93,Assam,BAKSA,2007,Whole Year ,Tapioca,142.0,1001.0,22.2
94,Assam,BAKSA,2007,Whole Year ,Tobacco,8.0,3.0,21.5
95,Assam,BAKSA,2007,Whole Year ,Turmeric,580.0,137.0,23.5
96,Assam,BAKSA,2007,Winter     ,Rice,58558.0,73246.0,12.9
97,Assam,BAKSA,2008,Autumn     ,Rice,13587.0,18640.0,24.2
98,Assam,BAKSA,2008,Kharif     ,Arhar/Tur,196.0,118.0,21.1
99,Assam,BAKSA,2008,Kharif     ,Castor seed,32.0,16.0,24.9
100,Assam,BAKSA,2008,Kharif     ,Cotton(lint),4.0,2.0,28.8
101,Assam,BAKSA,2008,Kharif     ,Jute,913.0,8087.0,26.9
102,Assam,BAKSA,2008,Kharif     ,Maize,197.0,148.0,20.6
103,Assam,BAKSA,2008,Kharif     ,Mesta,98.0,381.0,30.0
104,Assam,BAKSA,2008,Kharif     ,Niger seed,435.0,226.0,24.4
